/*
usmacro w exchange rate

*/
<1960 Q1>
DEXUSUK  FEDFUNDS  GDPCTPI  GDPCTPI_log_d1  inf  UNRATE  
NaN  3.93  16.538  NaN  NaN  5.1  
NaN  3.7  16.597  0.003561192838606786  1.4244771354427144  5.2  
NaN  2.94  16.669  0.004328750822369276  1.7315003289477104  5.5  
NaN  2.3  16.742  0.004369825276913986  1.7479301107655942  6.3  
NaN  2.0  16.762  0.001193887438849739  0.47755497553989557  6.8  
NaN  1.73  16.795  0.001966803387541738  0.7867213550166952  7.0  
NaN  1.68  16.83  0.0020817851384582475  0.832714055383299  6.8  
NaN  2.4  16.869  0.0023146097754596084  0.9258439101838434  6.2  
NaN  2.46  16.953  0.004967191337641896  1.9868765350567585  5.6  
NaN  2.61  17.0  0.0027685347404000638  1.1074138961600255  5.5  
NaN  2.85  17.04  0.0023501773449532415  0.9400709379812966  5.6  
NaN  2.92  17.081  0.002403213254754455  0.961285301901782  5.5  
NaN  2.97  17.165  0.004905692253731608  1.9622769014926433  5.8  
NaN  2.96  17.18  8.73489646453951E-4  0.3493958585815804  5.7  
NaN  3.33  17.199  0.0011053260382460905  0.4421304152984362  5.5  
NaN  3.45  17.311  0.006490895000236918  2.5963580000947672  5.6  
NaN  3.46  17.376  0.003747806156932487  1.4991224627729949  5.5  
NaN  3.49  17.427  0.002930783926980318  1.1723135707921273  5.2  
NaN  3.46  17.513  0.004922734612022417  1.9690938448089668  5.0  
NaN  3.58  17.588  0.004273389028035979  1.7093556112143915  5.0  
NaN  3.97  17.665  0.004368429492545012  1.7473717970180047  4.9  
NaN  4.08  17.747  0.004631206741319005  1.852482696527602  4.7  
NaN  4.07  17.828  0.004553767531881636  1.8215070127526545  4.4  
NaN  4.17  17.945  0.006541269515261128  2.616507806104451  4.1  
NaN  4.56  18.054  0.006055742276392717  2.422296910557087  3.9  
NaN  4.91  18.218  0.009042849446654788  3.6171397786619153  3.8  
NaN  5.41  18.378  0.008744180756075082  3.4976723024300327  3.8  
NaN  5.56  18.528  0.00812880431189189  3.2515217247567563  3.7  
NaN  4.82  18.605  0.004147260408001063  1.6589041632004253  3.8  
NaN  3.99  18.717  0.006001839998173164  2.4007359992692656  3.8  
NaN  3.89  18.885  0.008935754367661364  3.5743017470645455  3.8  
NaN  4.17  19.094  0.011006193411421172  4.402477364568469  3.9  
NaN  4.79  19.302  0.010834567909102422  4.333827163640969  3.7  
NaN  5.98  19.519  0.011179632679529483  4.471853071811793  3.6  
NaN  5.94  19.706  0.009534807735809281  3.8139230943237123  3.5  
NaN  5.92  19.98  0.013808615320124673  5.523446128049869  3.4  
NaN  6.57  20.18  0.009960241705055495  3.984096682022198  3.4  
NaN  8.33  20.446  0.013095249409359244  5.238099763743698  3.4  
NaN  8.98  20.737  0.01413227998088118  5.652911992352472  3.6  
NaN  8.94  20.997  0.012460026059808893  4.984010423923557  3.6  
NaN  8.57  21.286  0.013670009243340164  5.468003697336066  4.2  
NaN  7.88  21.593  0.01431960847384195  5.72784338953678  4.8  
NaN  6.7  21.77  0.00816368715376159  3.265474861504636  5.2  
NaN  5.57  22.055  0.013006458310447222  5.202583324178889  5.8  
2.4142  3.86  22.389  0.015030433260456721  6.012173304182689  5.9  
2.4185  4.56  22.689  0.013310458724641983  5.324183489856793  5.9  
2.4413  5.47  22.917  0.009998767685330368  3.999507074132147  6.0  
2.5042  4.75  23.107  0.008256608699036772  3.3026434796147086  5.9  
2.598  3.54  23.478  0.015928210529961184  6.371284211984474  5.8  
2.5968  4.3  23.621  0.006072334419240377  2.428933767696151  5.7  
2.4456  4.74  23.835  0.009018941781218537  3.6075767124874147  5.6  
2.3637  5.14  24.105  0.011264199200796465  4.505679680318586  5.4  
2.4181  6.54  24.412  0.012655526824662644  5.062210729865058  4.9  
2.5302  7.82  24.816  0.016413791751934692  6.565516700773877  4.9  
2.479  10.56  25.29  0.01892045424769062  7.5681816990762485  4.8  
2.3787  10.0  25.728  0.017170832314682194  6.868332925872878  4.8  
2.2792  9.32  26.249  0.020048000077339534  8.019200030935814  5.1  
2.3977  11.25  26.832  0.021967312006957673  8.78692480278307  5.2  
2.3516  12.09  27.659  0.030355967212263746  12.142386884905498  5.6  
2.3294  9.35  28.498  0.029882737080480393  11.953094832192157  6.6  
2.3914  6.3  29.142  0.022346523218065517  8.938609287226207  8.3  
2.3246  5.42  29.565  0.014410796681130655  5.764318672452262  8.9  
2.1283  6.16  30.087  0.017501955501387556  7.000782200555022  8.5  
2.042  5.41  30.59  0.016579973388631153  6.631989355452461  8.3  
1.9961  4.83  30.925  0.010891760115739668  4.356704046295867  7.7  
1.806  5.2  31.233  0.009910309882173785  3.964123952869514  7.6  
1.7653  5.28  31.632  0.012694038267535568  5.077615307014227  7.7  
1.6529  4.87  32.169  0.01683398947785708  6.733595791142832  7.8  
1.7136  4.66  32.689  0.01603537396748944  6.4141495869957765  7.5  
1.7189  5.16  33.205  0.015661837119069322  6.264734847627729  7.1  
1.7357  5.82  33.662  0.01366913771129763  5.467655084519052  6.9  
1.8151  6.51  34.225  0.016586766470537917  6.634706588215167  6.7  
1.9255  6.76  34.786  0.01625863581144893  6.503454324579572  6.3  
1.8346  7.28  35.48  0.019754150455417285  7.901660182166914  6.0  
1.9321  8.1  36.106  0.017489899073087845  6.995959629235138  6.0  
1.9852  9.58  36.819  0.019554959769014335  7.821983907605734  5.9  
2.0165  10.07  37.507  0.0185135659394966  7.4054263757986405  5.9  
2.081  10.18  38.413  0.023868361745070565  9.547344698028226  5.7  
2.2323  10.95  39.215  0.020663382696581856  8.265353078632742  5.9  
2.1598  13.58  39.93  0.018068594410499905  7.227437764199962  6.0  
2.2516  15.05  40.804  0.021652194745142683  8.660877898057073  6.3  
